cts,date,Accelerometer [m/s2],acc1,acc2,temperature [°C]
79748.17401005088,2024-03-16T10:11:11.856Z,7.023980815347722,-1.3477218225419665,2.064748201438849,19.546875
79753.20069346797,2024-03-16T10:11:11.861Z,7.043165467625899,-0.8992805755395683,2.357314148681055,19.546875
79758.22737688506,2024-03-16T10:11:11.866Z,7.134292565947242,-0.6091127098321343,2.7793764988009593,19.546875
79763.25406030215,2024-03-16T10:11:11.871Z,7.249400479616307,-0.4172661870503597,3.179856115107914,19.546875
79768.28074371924,2024-03-16T10:11:11.876Z,7.328537170263789,-0.3645083932853717,3.594724220623501,19.546875
79773.30742713633,2024-03-16T10:11:11.881Z,7.374100719424461,-0.4196642685851319,3.8609112709832134,19.546875
79778.33411055342,2024-03-16T10:11:11.886Z,7.323741007194244,-0.5683453237410072,4.014388489208633,19.546875
79783.36079397051,2024-03-16T10:11:11.891Z,7.170263788968825,-0.7314148681055156,4.107913669064748,19.546875
79788.3874773876,2024-03-16T10:11:11.896Z,6.959232613908873,-0.9520383693045563,4.062350119904076,19.546875
79793.41416080469,2024-03-16T10:11:11.901Z,6.752997601918465,-1.2422062350119905,3.9160671462829737,19.546875
79798.44084422178,2024-03-16T10:11:11.906Z,6.465227817745803,-1.5755395683453237,3.7505995203836933,19.546875
79803.46752763887,2024-03-16T10:11:11.911Z,6.07673860911271,-1.7410071942446044,3.5179856115107913,19.546875
79808.49421105596,2024-03-16T10:11:11.916Z,5.621103117505995,-1.8920863309352518,3.371702637889688,19.546875
79813.52089447305,2024-03-16T10:11:11.921Z,5.134292565947242,-1.853717026378897,3.342925659472422,19.546875
79818.54757789015,2024-03-16T10:11:11.926Z,4.729016786570743,-1.7074340527577938,3.3908872901678655,19.546875
79823.57426130724,2024-03-16T10:11:11.931Z,4.561151079136691,-1.5179856115107915,3.5107913669064748,19.546875
79828.60094472433,2024-03-16T10:11:11.936Z,4.750599520383693,-1.235011990407674,3.788968824940048,19.546875
79833.62762814142,2024-03-16T10:11:11.941Z,5.235011990407674,-0.9328537170263789,4.2254196642685855,19.546875
79838.65431155851,2024-03-16T10:11:11.946Z,5.781774580335731,-0.6546762589928058,4.738609112709832,19.546875
79843.6809949756,2024-03-16T10:11:11.951Z,6.407673860911271,-0.513189448441247,5.218225419664269,19.546875
79848.70767839269,2024-03-16T10:11:11.956Z,6.882494004796163,-0.31654676258992803,5.690647482014389,19.546875
79853.73436180978,2024-03-16T10:11:11.961Z,7.23021582733813,-0.22302158273381295,6.13189448441247,19.546875
79858.76104522687,2024-03-16T10:11:11.966Z,7.4412470023980815,-0.050359712230215826,6.551558752997602,19.546875
79863.78772864396,2024-03-16T10:11:11.971Z,7.693045563549161,0.14388489208633093,6.930455635491607,19.546875
79868.81441206105,2024-03-16T10:11:11.976Z,7.985611510791367,0.33093525179856115,7.15347721822542,19.546875
79873.84109547814,2024-03-16T10:11:11.981Z,8.318944844124701,0.407673860911271,7.290167865707434,19.546875
79878.86777889523,2024-03-16T10:11:11.986Z,8.491606714628297,0.41247002398081534,7.424460431654676,19.546875
79883.89446231232,2024-03-16T10:11:11.991Z,8.587529976019185,0.22062350119904076,7.448441247002398,19.546875
79888.92114572942,2024-03-16T10:11:11.996Z,8.601918465227818,0.011990407673860911,7.294964028776978,19.546875
79893.9478291465,2024-03-16T10:11:12.001Z,8.697841726618705,-0.2973621103117506,6.995203836930456,19.546875
79898.9745125636,2024-03-16T10:11:12.006Z,9.11031175059952,-0.5731414868105515,6.594724220623501,19.546875
79904.00119598069,2024-03-16T10:11:12.011Z,10.09832134292566,-0.9376498800959233,5.980815347721823,19.546875
79909.02787939778,2024-03-16T10:11:12.016Z,11.760191846522781,-1.4388489208633093,5.3117505995203835,19.546875
79914.05456281487,2024-03-16T10:11:12.021Z,14.194244604316546,-2.129496402877698,4.678657074340528,19.546875
79919.08124623196,2024-03-16T10:11:12.026Z,16.599520383693047,-2.6810551558753,4.134292565947242,19.546875
79924.10792964905,2024-03-16T10:11:12.031Z,17.827338129496404,-3.014388489208633,3.4772182254196644,19.546875
79929.13461306614,2024-03-16T10:11:12.036Z,16.863309352517987,-3.342925659472422,3.1414868105515588,19.546875
79934.16129648323,2024-03-16T10:11:12.041Z,12.621103117505996,-2.2446043165467624,3.462829736211031,19.546875
79939.18797990032,2024-03-16T10:11:12.046Z,9.167865707434053,-1.2062350119904077,3.616306954436451,19.546875
79944.21466331741,2024-03-16T10:11:12.051Z,7.182254196642686,-0.11270983213429256,3.9904076738609113,19.546875
79949.2413467345,2024-03-16T10:11:12.055Z,6.134292565947242,0.7026378896882494,4.693045563549161,19.546875
79954.2680301516,2024-03-16T10:11:12.060Z,5.568345323741007,1.0167865707434052,5.836930455635492,19.546875
79959.29471356868,2024-03-16T10:11:12.065Z,5.299760191846523,1.1031175059952039,6.6810551558753,19.546875
79964.32139698578,2024-03-16T10:11:12.070Z,5.3117505995203835,0.6402877697841727,7.292565947242206,19.546875
79969.34808040287,2024-03-16T10:11:12.075Z,5.94484412470024,-0.38609112709832133,7.376498800959233,19.546875
79974.37476381996,2024-03-16T10:11:12.080Z,7.079136690647482,-1.2709832134292567,6.669064748201439,19.546875
79979.40144723705,2024-03-16T10:11:12.085Z,8.335731414868105,-2.0551558752997603,6.215827338129497,19.546875
79984.42813065414,2024-03-16T10:11:12.090Z,9.776978417266188,-2.726618705035971,5.81294964028777,19.546875
79989.45481407123,2024-03-16T10:11:12.095Z,10.781774580335732,-2.92326139088729,5.76978417266187,19.546875
79994.48149748832,2024-03-16T10:11:12.100Z,10.810551558752998,-2.5755395683453237,6.011990407673861,19.546875
79999.50818090541,2024-03-16T10:11:12.105Z,9.7242206235012,-1.6354916067146283,6.477218225419664,19.546875
80004.5348643225,2024-03-16T10:11:12.110Z,8.105515587529975,-0.5059952038369304,6.9640287769784175,19.546875
80009.56154773959,2024-03-16T10:11:12.115Z,6.60431654676259,0.750599520383693,7.625899280575539,19.546875
80014.58823115668,2024-03-16T10:11:12.120Z,5.839328537170264,1.7074340527577938,8.630695443645084,19.546875
80019.61491457377,2024-03-16T10:11:12.125Z,5.786570743405276,2.58273381294964,9.573141486810552,19.546875
80024.64159799086,2024-03-16T10:11:12.130Z,6.402877697841727,3.1414868105515588,10.517985611510792,19.546875
80029.66828140795,2024-03-16T10:11:12.135Z,7.431654676258993,3.2541966426858515,11.50599520383693,19.546875
80034.69496482504,2024-03-16T10:11:12.140Z,8.520383693045563,3.1103117505995206,12.122302158273381,19.546875
80039.72164824214,2024-03-16T10:11:12.145Z,9.534772182254196,2.7482014388489207,12.220623501199041,19.546875
80044.74833165923,2024-03-16T10:11:12.150Z,10.422062350119903,2.1079136690647484,11.752997601918466,19.546875
80049.77501507632,2024-03-16T10:11:12.155Z,10.556354916067146,1.4964028776978417,10.964028776978417,19.546875
80054.80169849341,2024-03-16T10:11:12.160Z,9.949640287769784,0.973621103117506,9.97841726618705,19.546875
80059.8283819105,2024-03-16T10:11:12.165Z,8.676258992805755,0.8273381294964028,8.851318944844124,19.546875
80064.85506532759,2024-03-16T10:11:12.170Z,7.143884892086331,0.9712230215827338,7.685851318944844,19.546875
80069.88174874468,2024-03-16T10:11:12.175Z,5.6378896882494,1.2182254196642686,6.800959232613909,19.546875
80074.90843216177,2024-03-16T10:11:12.180Z,4.383693045563549,1.5539568345323742,6.103117505995204,19.546875
80079.93511557886,2024-03-16T10:11:12.185Z,3.306954436450839,1.841726618705036,5.609112709832134,19.546875
80084.96179899595,2024-03-16T10:11:12.190Z,2.4892086330935252,2.0335731414868103,5.256594724220624,19.546875
80089.98848241304,2024-03-16T10:11:12.195Z,1.9688249400479616,2.0863309352517985,5.002398081534772,19.546875
80095.01516583013,2024-03-16T10:11:12.200Z,1.9016786570743405,1.9064748201438848,5.026378896882494,19.546875
